1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
86.5,87.9,89.5,90.4,92.2,95,98,100,103,104.7,106.7,108.4,110.5,113.1,113.6,116.5,120,121.8,123.3,126.4,128.3,131
88.2,88.3,88.6,89.6,90.9,93.9,99.1,100,103.5,105.9,108.6,111.5,113.4,117.4,117.5,120.3,122.2,124.6,126.7,131.7,135.3,139.8
