Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All items,91.3,92.1,92.6,93,93.9,96,97.8,100,102,104,106,108,110.2,112.8,112.9,114.9,117.5,119,119.2,120.5,121.9,124.6
Shelter,100.7,99,97.5,96,95.7,97.5,99.8,100,101.5,103.4,105.1,108.2,111.8,115.6,113.7,115.7,117.1,117.5,116.9,117.7,118,120.1
