"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA16_2397: Median total income of households in 2015 ($)","v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data","v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999","v_CA16_2421: $100,000 and over","v_CA16_4895: Median value of dwellings ($)","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data","v_CA16_4863: 1960 or before","v_CA16_3957: Total visible minority population","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_5105: Postsecondary certificate, diploma or degree","v_CA16_4838: Renter","v_CA16_4837: Owner","v_CA16_4836: Total - Private households by tenure - 25% sample data","v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data","v_CA16_6698: Movers","v_CA16_6704: Migrants","v_CA16_6707: Internal migrants","v_CA16_6710: Intraprovincial migrants","v_CA16_6713: Interprovincial migrants","v_CA16_6716: External migrants"
"64","9330039.01","CT","Vancouver",0.71415,5896,3578,3369,"59933","59","5915022","5915",67191,3370,85,60,130,150,135,115,135,130,145,135,305,240,235,215,165,995,802320,1111,23,38.2,1721,3365,1260,1400,5880,3695,2370,1000,3370,4410,5820,1195,380,250,130,125,130
"65","9330039.02","CT","Vancouver",0.6033,5794,3098,2986,"59933","59","5915022","5915",70459,2990,85,45,85,115,120,115,100,105,120,125,240,230,210,190,145,960,600341,1308,23.3,38.8,1285,2985,265,2000,5425,3240,1500,1485,2985,3695,5350,1040,380,285,140,140,95
"66","9330040.01","CT","Vancouver",0.27049,4106,2990,2844,"59933","59","5915022","5915",53606,2845,125,60,110,175,135,145,125,130,160,145,285,235,200,160,130,510,500472,1146,21.3,45.7,1331,2835,935,1075,4120,2670,2300,540,2840,3195,4095,1020,410,325,190,140,85
"67","9330040.02","CT","Vancouver",0.3166,4601,3003,2953,"59933","59","5915022","5915",59975,2955,90,65,100,120,130,120,135,130,165,150,275,245,235,180,145,665,550122,1153,24.8,38,872,2995,1005,1065,4540,2740,2255,745,3000,3280,4510,1000,385,315,225,95,75
"68","9330041.01","CT","Vancouver",0.38099,4450,2868,2774,"59933","59","5915022","5915",64402,2770,90,50,85,90,115,90,100,110,135,155,245,255,210,185,165,695,598260,1342,21.3,41.3,1056,2740,790,860,4275,2590,1885,850,2735,3020,4245,1065,335,240,130,110,95
"69","9330041.02","CT","Vancouver",1.0012,7411,3965,3697,"59933","59","5915022","5915",81385,3695,130,60,90,120,125,130,120,125,120,105,235,225,235,200,180,1505,799242,1513,23.4,38,1228,3735,830,2030,7340,4065,1485,2255,3735,4690,7255,1360,415,225,145,80,185
"70","9330042.00","CT","Vancouver",1.08738,6482,2964,2640,"59933","59","5915022","5915",85797,2640,90,40,65,85,80,105,110,85,90,65,180,130,115,145,135,1115,2205802,1456,27.4,43.3,1176,2640,1295,1720,6485,2935,1200,1440,2640,3545,6425,1190,505,310,145,165,195
"71","9330043.01","CT","Vancouver",0.71126,4040,1908,1673,"59933","59","5915022","5915",75744,1675,95,50,45,55,80,60,55,55,60,45,105,85,90,65,70,665,2689180,1407,33.2,59.7,1194,1665,625,1690,4005,1705,675,985,1660,1960,3990,845,365,185,75,115,170
"72","9330043.02","CT","Vancouver",0.99667,4333,1760,1596,"59933","59","5915022","5915",98645,1600,50,30,35,40,35,45,50,40,50,45,80,85,80,75,75,785,3003179,1650,32.5,41.6,1280,1605,860,1650,4355,1885,445,1165,1605,2240,4340,640,280,125,80,45,155
"73","9330044.00","CT","Vancouver",2.84822,4700,2273,2112,"59933","59","5915022","5915",83456,2110,55,40,110,130,70,60,60,60,75,60,95,110,95,105,75,920,2797671,1228,27.2,49.7,1416,2075,710,1320,4560,1895,895,1175,2070,2300,4530,730,280,115,85,35,165
"74","9330045.01","CT","Vancouver",0.67288,4803,2598,2364,"59933","59","5915022","5915",87836,2365,70,40,60,80,80,55,65,80,60,70,150,145,145,130,110,1040,1451469,1629,25,42.5,1308,2400,1140,910,4890,2665,1170,1235,2405,3035,4825,1060,390,240,115,125,150
"75","9330045.02","CT","Vancouver",0.73341,5870,2990,2780,"59933","59","5915022","5915",76096,2780,120,55,80,110,75,110,95,85,105,95,170,200,155,145,105,1080,1500144,1548,24.6,44.2,1178,2780,1135,1110,5855,3180,1520,1260,2780,3675,5795,1155,555,270,125,145,280
"76","9330046.00","CT","Vancouver",0.49188,5158,3195,3057,"59933","59","5915022","5915",61600,3060,105,80,140,180,135,125,120,125,130,120,235,225,190,170,140,830,651215,1179,16.8,50,1168,3015,670,835,5005,2845,2065,950,3015,3500,4960,1190,520,330,195,130,190
"77","9330047.01","CT","Vancouver",0.33248,3662,2444,2264,"59933","59","5915022","5915",70459,2265,70,40,55,80,90,70,100,75,90,90,175,170,170,145,105,720,750012,1329,23.1,40,1018,2245,575,370,3485,2095,1440,805,2245,2495,3460,585,250,180,95,85,65
"78","9330047.02","CT","Vancouver",0.39158,4102,2796,2682,"59933","59","5915022","5915",66901,2680,110,45,75,100,110,75,95,105,110,110,250,235,210,205,150,695,500763,1303,25.4,42.3,1286,2705,530,640,4130,2680,2065,640,2700,3165,4090,970,395,315,155,160,85
"79","9330048.00","CT","Vancouver",1.21983,7932,5085,4775,"59933","59","5915022","5915",67149,4775,185,90,240,195,200,155,170,180,175,195,375,325,285,260,205,1545,661197,1301,27.1,44.6,1376,4775,705,1730,7865,4785,2650,2120,4775,5660,7730,1540,625,445,240,205,180
"80","9330049.01","CT","Vancouver",1.55085,13855,8528,7726,"59933","59","5915022","5915",89971,7730,260,120,190,235,200,180,180,195,185,230,430,485,520,475,415,3450,681505,1658,28,37.2,1768,7725,385,4610,13590,8925,3530,4195,7730,10315,13385,3030,1115,735,490,250,375
"81","9330049.02","CT","Vancouver",0.85075,5968,3249,3143,"59933","59","5915022","5915",78176,3145,60,35,90,150,140,85,110,115,90,120,220,200,190,180,170,1195,751835,1251,20.6,39.9,1022,3140,35,985,5765,2580,1510,1630,3145,3090,5720,715,280,195,130,65,85
"82","9330050.02","CT","Vancouver",0.68133,6238,3642,3475,"59933","59","5915022","5915",50670,3475,80,60,245,335,185,180,155,160,160,155,285,285,225,135,150,685,501189,992,20.9,39.3,1351,3485,720,1675,6320,3210,2530,955,3480,4415,6245,1155,335,220,155,65,115
"83","9330050.03","CT","Vancouver",1.29301,6079,3841,3679,"59933","59","5915022","5915",58832,3675,110,85,200,225,160,165,150,140,155,165,305,300,240,215,190,870,449046,1045,21.5,43,1445,3635,350,1385,5865,3665,2170,1460,3635,4585,5810,970,305,220,145,75,85
"84","9330050.04","CT","Vancouver",0.30664,3148,2015,1874,"59933","59","5915022","5915",43995,1875,45,40,180,150,115,105,95,115,110,90,165,135,125,90,75,240,330176,969,24,51,1173,1920,250,1040,3105,1590,1275,640,1920,2255,3070,660,210,185,110,75,25
"85","9330051.01","CT","Vancouver",0.54428,3389,1413,1312,"59933","59","5915022","5915",78746,1310,25,15,30,55,50,45,50,50,40,40,115,80,75,60,50,540,1203117,1123,18.5,45.1,850,1320,710,1260,3325,1540,455,865,1320,2075,3300,365,130,85,60,20,45
"86","9330051.02","CT","Vancouver",0.75497,4671,1843,1739,"59933","59","5915022","5915",62752,1740,35,30,50,100,95,85,75,85,80,70,140,115,110,105,80,485,1297411,1021,24.5,40.3,742,1730,430,3150,4645,1580,695,1035,1730,2635,4600,570,225,130,110,20,105
"87","9330052.01","CT","Vancouver",1.26046,6112,2449,2223,"59933","59","5915022","5915",53595,2225,40,25,85,235,130,115,105,115,95,90,155,145,145,95,100,530,1298378,904,21.2,52.9,749,2225,440,4310,6005,1645,1115,1110,2225,3200,5950,815,310,160,150,10,150
"88","9330052.02","CT","Vancouver",1.32557,6272,2370,2216,"59933","59","5915022","5915",68324,2215,45,25,95,90,75,105,85,85,100,90,180,155,130,120,110,725,1204041,1005,22.2,34.9,775,2220,535,3990,6140,1985,960,1260,2215,3610,6080,695,255,140,110,30,115
"89","9330053.01","CT","Vancouver",2.62482,6548,2641,2461,"59933","59","5915022","5915",74403,2460,35,25,45,90,110,105,100,110,95,80,180,165,170,140,140,860,1201436,1054,21,31.9,903,2485,1010,3365,6560,2385,910,1575,2485,3850,6480,860,195,120,95,25,80
"90","9330053.02","CT","Vancouver",0.79811,3508,1515,1393,"59933","59","5915022","5915",77894,1395,20,20,40,50,50,45,50,60,60,50,100,85,90,85,80,510,1200005,1051,27,42.9,1584,1365,665,1555,3420,1410,490,875,1370,2075,3375,565,245,160,125,40,90
"91","9330054.01","CT","Vancouver",0.58596,4066,1739,1618,"59933","59","5915022","5915",78976,1615,30,20,30,55,60,40,65,65,60,65,110,110,110,100,65,630,1299270,1084,18.8,29.3,1180,1660,1050,1540,4095,1895,700,955,1660,2655,4035,505,160,100,45,55,65
"92","9330054.02","CT","Vancouver",0.79274,4476,1686,1575,"59933","59","5915022","5915",78144,1575,30,15,35,45,70,85,50,75,60,55,110,85,95,95,70,610,1301820,1054,23.1,31.6,1052,1535,685,2380,4370,1340,475,1060,1535,2405,4320,430,145,110,80,25,40
"93","9330055.01","CT","Vancouver",0.80452,5407,2750,2612,"59933","59","5915022","5915",55698,2615,75,40,140,160,140,115,140,140,130,105,255,200,160,130,135,565,753409,956,26.3,42.9,1310,2620,885,1935,5290,2230,1575,1045,2620,3540,5235,905,310,235,210,25,75
"94","9330055.02","CT","Vancouver",0.65244,4381,2550,2439,"59933","59","5915022","5915",50576,2440,60,50,175,165,160,120,100,130,140,105,195,210,140,130,115,445,448906,943,23,47.1,1130,2470,605,1270,4515,2045,1490,980,2475,3135,4475,685,230,205,150,55,25
"95","9330056.01","CT","Vancouver",1.12857,4142,2511,2401,"59933","59","5915022","5915",41293,2400,60,100,235,265,175,120,115,110,110,110,205,155,120,110,85,340,449131,960,24.2,49.6,1486,2360,550,895,4015,2060,1865,490,2360,2865,3975,900,290,235,150,85,55
"96","9330056.02","CT","Vancouver",0.66725,4545,2441,2297,"59933","59","5915022","5915",60946,2300,45,35,160,130,90,95,100,100,110,115,160,175,135,120,120,625,876011,1019,23,38.9,1623,2290,1005,815,4415,2350,1530,760,2290,3165,4375,730,210,165,100,65,45
"97","9330057.01","CT","Vancouver",0.23107,3082,1665,1475,"59933","59","5915022","5915",24299,1475,50,65,225,320,90,125,65,40,45,50,80,45,40,35,40,160,515069,538,29.5,51.6,1555,1490,325,1600,2660,855,1270,220,1485,1420,2640,265,65,55,35,20,15
"98","9330057.02","CT","Vancouver",1.62618,4980,2467,2227,"59933","59","5915022","5915",33920,2230,65,85,200,380,140,150,110,75,75,50,100,95,90,80,55,465,899986,654,25.5,47.7,1685,2225,1045,2040,4480,1595,1545,685,2225,2620,4460,800,260,170,105,70,80
"99","9330058.00","CT","Vancouver",1.13316,4203,2292,2089,"59933","59","5915022","5915",17051,2090,110,250,595,425,150,120,60,45,45,35,60,30,30,20,20,110,552180,405,30.6,57.9,1819,2075,420,810,2625,855,1905,175,2080,1730,2615,620,145,120,90,35,25
"100","9330059.06","CT","Vancouver",0.6125,7695,4982,4377,"59933","59","5915022","5915",27258,4375,190,370,835,470,245,215,165,125,110,95,200,205,160,145,125,720,501194,561,40.7,54.6,1804,4380,1510,1635,5775,3020,3360,1020,4375,4540,5750,1415,580,410,295,120,170
"101","9330059.07","CT","Vancouver",0.26016,4896,3059,2668,"59933","59","5915022","5915",92599,2665,140,55,90,105,60,70,60,65,70,65,150,130,130,140,95,1260,1001159,2004,33.7,38.2,1620,2690,20,2195,4955,2760,965,1725,2695,3215,4900,890,420,180,115,70,240
"102","9330059.08","CT","Vancouver",0.34509,6976,3840,3449,"59933","59","5915022","5915",88789,3450,150,60,95,150,115,100,100,95,90,100,165,190,180,155,175,1535,946293,1804,30.6,44.5,1606,3450,150,2920,6850,3760,1540,1910,3450,4435,6795,1085,505,210,100,110,290
"103","9330059.09","CT","Vancouver",0.19984,6911,4861,4509,"59933","59","5915022","5915",55936,4505,295,125,445,250,185,175,145,140,145,175,330,290,265,205,215,1130,574091,1441,32,54.7,1637,4485,70,2525,6520,4180,2940,1545,4485,5265,6495,1905,900,490,340,150,410
"104","9330059.10","CT","Vancouver",0.19921,6298,4309,3924,"59933","59","5915022","5915",62771,3920,260,130,340,250,140,95,100,120,105,100,270,240,260,220,190,1120,549423,1590,38.3,54.4,1576,3925,115,2495,6035,3845,2275,1650,3925,4720,5965,1625,790,395,245,145,395
"105","9330059.11","CT","Vancouver",0.7706,7163,5202,4256,"59933","59","5915022","5915",65920,4255,350,125,210,200,145,115,130,135,160,160,250,265,290,220,215,1300,599085,1723,39.4,51.1,1699,4260,220,3360,6810,4585,2625,1630,4255,5375,6750,2045,1010,475,230,245,535
"106","9330059.13","CT","Vancouver",0.31895,4753,2960,2596,"59933","59","5915022","5915",72082,2595,155,50,65,70,75,100,80,80,120,90,175,195,160,160,130,885,552785,1808,39.7,51.9,1617,2560,110,2210,4560,2940,1465,1095,2560,3505,4525,1615,835,420,205,215,410
"107","9330059.14","CT","Vancouver",0.59079,8833,5328,4861,"59933","59","5915022","5915",78822,4865,275,80,130,155,155,145,150,145,130,165,330,300,320,305,270,1815,648539,1720,32.8,42.6,1751,4895,70,3780,8735,5595,2530,2370,4900,6600,8595,2090,1010,610,370,245,400
"108","9330060.01","CT","Vancouver",0.14833,3124,2174,2058,"59933","59","5915022","5915",53299,2060,90,35,90,120,100,95,75,125,115,115,195,175,165,110,95,355,401170,1326,17.1,49.8,844,2045,490,775,3030,1765,1640,410,2050,2235,3015,865,395,220,120,100,175
"109","9330060.02","CT","Vancouver",0.23171,5986,4109,3987,"59933","59","5915022","5915",49998,3985,180,95,215,275,250,170,190,195,225,200,375,325,250,225,155,660,499924,1266,33.9,50.5,1406,3995,570,1595,6080,3505,3140,860,3995,4570,6030,1510,690,365,215,150,325
"110","9330061.00","CT","Vancouver",0.21193,5111,3659,3509,"59933","59","5915022","5915",51531,3510,170,75,150,175,160,190,195,175,210,185,355,300,240,200,140,580,501476,1265,30.5,46.4,885,3510,820,1310,5165,2965,3035,475,3510,3790,5125,1320,630,350,195,155,280
"111","9330062.00","CT","Vancouver",0.16862,3426,2512,2355,"59933","59","5915022","5915",58423,2355,75,50,80,105,140,110,120,100,110,115,220,200,155,125,115,550,599062,1367,18.6,46.9,764,2325,670,495,3445,1885,1680,640,2325,2250,3425,570,270,175,80,95,95
"112","9330063.00","CT","Vancouver",0.18512,3978,2689,2549,"59933","59","5915022","5915",52425,2550,85,50,120,160,150,120,125,130,130,140,240,230,175,125,115,445,450252,1222,17.8,48.7,804,2555,490,905,3945,2385,1910,640,2550,2960,3915,885,335,185,100,85,155
"113","9330064.00","CT","Vancouver",0.2389,4658,3192,3085,"59933","59","5915022","5915",48768,3085,125,75,190,210,170,150,155,170,185,170,300,235,215,195,135,415,439953,1214,21,44.7,1339,3095,790,1375,4640,2895,2785,305,3095,3630,4615,1250,615,330,185,145,285
"114","9330065.00","CT","Vancouver",0.24101,7147,4801,4515,"59933","59","5915022","5915",50613,4515,270,110,275,310,230,200,185,240,225,190,385,365,300,260,175,805,549755,1217,26,52,1373,4505,880,2275,6945,4315,3615,895,4510,5210,6910,1870,880,400,205,195,475
"115","9330066.00","CT","Vancouver",0.52863,8639,5910,4599,"59933","59","5915022","5915",71774,4600,335,125,130,175,140,135,155,175,160,155,305,270,250,255,200,1630,801997,1719,44.6,46.6,1735,4595,270,4870,8605,5340,2565,2040,4600,6170,8515,2005,1010,465,200,265,545
"116","9330067.01","CT","Vancouver",0.18628,3772,2633,2544,"59933","59","5915022","5915",43989,2545,95,45,260,275,155,105,115,125,115,105,220,185,145,115,105,360,500293,1111,20,54.5,905,2540,470,915,3665,1965,2140,400,2540,2635,3650,760,335,140,100,35,195
"117","9330067.02","CT","Vancouver",0.2353,4773,3016,2585,"59933","59","5915022","5915",63206,2585,165,70,120,110,100,90,105,95,105,90,185,135,135,115,100,860,1204054,1513,43.1,54.3,1509,2585,60,2200,4685,2620,1710,870,2580,3085,4670,1130,630,230,135,100,395
"118","9330068.00","CT","Vancouver",4.27161,5085,3662,3493,"59933","59","5915022","5915",50667,3490,135,75,140,230,180,160,185,195,205,210,325,270,205,170,160,640,550756,1214,29.6,49.8,931,3525,1255,1245,5130,2910,2845,680,3525,3730,5090,1095,445,240,140,105,205
"119","9330069.01","CT","Greater Vancouver A",5.44128,10810,5577,3881,"59933","59","5915020","5915",48141,3880,600,210,195,175,145,165,150,130,100,130,190,205,150,155,135,1050,899395,1577,40.6,67.4,1401,3955,360,6130,9235,4035,2140,1815,3950,4535,9145,2420,1215,495,245,250,715
"120","9330069.02","CT","Greater Vancouver A",9.06039,5080,2612,2128,"59933","59","5915020","5915",39104,2130,375,155,105,105,95,75,80,85,55,55,135,100,80,75,75,480,799112,2006,60.8,63.1,1652,2060,25,3450,4795,2015,1115,950,2055,2315,4755,1590,980,415,265,150,570
"121","9330100.01","CT","North Vancouver",0.97053,4226,1693,1605,"59933","59","5915051","5915",80000,1605,25,25,40,70,40,60,50,55,50,65,110,105,105,100,75,630,1202474,1175,21.8,52.2,1464,1590,565,1055,3805,1690,690,900,1595,2165,3790,625,210,155,95,65,50
"122","9330100.02","CT","North Vancouver",2.9293,7306,3450,3218,"59933","59","5915051","5915",75315,3215,70,45,75,125,105,100,140,135,125,115,210,245,195,180,175,1175,900795,1228,25.8,40.7,1524,3220,730,1735,7280,3440,1485,1730,3215,4515,7210,990,440,335,260,75,105
"123","9330101.03","CT","North Vancouver",0.33857,5370,3394,3255,"59933","59","5915051","5915",55050,3255,110,60,110,150,180,165,180,180,175,165,305,295,250,210,165,565,438812,1165,25.3,44.4,1002,3230,270,1465,5310,2765,2060,1170,3235,3560,5280,1085,515,395,315,75,120
"124","9330101.04","CT","North Vancouver",0.30206,4505,2685,2475,"59933","59","5915051","5915",53269,2475,105,45,85,145,140,130,130,135,125,130,210,195,150,145,115,485,470579,1295,33.3,51.6,1264,2450,170,1830,4475,2175,1380,1065,2445,2835,4425,985,495,310,200,110,185
"125","9330101.05","CT","North Vancouver",0.58814,4900,2440,2337,"59933","59","5915051","5915",67188,2340,45,30,65,80,95,95,90,100,90,125,210,180,170,135,125,700,648564,1252,27.3,43.7,1361,2330,295,1530,4805,2325,1065,1265,2330,3015,4790,750,315,240,170,65,75
"126","9330101.06","CT","North Vancouver",0.42222,4753,3348,2871,"59933","59","5915051","5915",62938,2870,80,50,135,225,150,120,100,130,95,115,180,195,165,160,130,850,501722,1298,24.3,44.8,1408,2890,105,1520,4805,2385,1430,1460,2890,3040,4770,995,455,360,250,105,90
"127","9330102.01","CT","Mission 1",0.27764,576,178,160,"59933","59","5915807","5915",55168,160,5,0,5,10,10,10,10,10,5,5,25,10,10,5,10,35,0,0,0,0,0,160,10,10,580,145,15,65,160,310,570,70,25,25,20,0,0
"128","9330102.02","CT","North Vancouver",2.5727,6440,2634,2418,"59933","59","5915051","5915",80710,2415,40,30,55,75,65,80,75,80,105,100,175,160,165,155,150,915,749834,1521,32.5,39.4,1807,2420,425,2355,6185,2925,800,1620,2420,3670,6140,930,380,315,250,65,60
"129","9330103.00","CT","North Vancouver",1.34072,7700,3815,3662,"59933","59","5915051","5915",59776,3660,95,70,110,170,200,180,180,180,170,185,290,265,250,185,160,965,650289,1107,29.2,51.5,1290,3700,760,2650,7700,3350,1665,2035,3700,4575,7605,980,415,320,280,45,90
"130","9330104.00","CT","North Vancouver",2.41356,7698,2967,2804,"59933","59","5915051","5915",91520,2805,40,20,55,70,75,90,95,95,90,90,175,185,140,160,125,1300,1301081,1314,21.6,43.9,1519,2820,795,2200,7825,3145,1035,1785,2820,4275,7745,980,325,200,175,20,125
"131","9330110.02","CT","North Vancouver",2.21469,3065,1136,1083,"59933","59","5915046","5915",120768,1085,15,5,15,15,15,10,25,20,15,30,55,55,40,65,65,640,1396840,1602,20.9,50,1622,1080,215,555,3145,1230,130,950,1080,1595,3110,220,110,70,50,25,40
"132","9330110.03","CT","North Vancouver",38.8455,3130,1327,1215,"59933","59","5915046","5915",121984,1215,5,15,30,30,35,25,20,15,30,25,45,65,60,50,60,710,1202438,1207,15.8,46.2,1224,1210,225,425,3165,1375,190,1020,1210,1695,3145,305,115,95,85,10,25
"133","9330110.04","CT","North Vancouver",1.49981,4236,1479,1444,"59933","59","5915046","5915",125184,1445,15,5,15,20,35,20,25,35,25,30,65,70,65,60,65,890,1204205,1259,16,44.3,1657,1445,140,625,4195,1800,350,1095,1450,2220,4175,250,120,95,90,0,20
"134","9330111.02","CT","North Vancouver",32.59098,7567,2796,2750,"59933","59","5915046","5915",112407,2750,25,20,20,45,65,55,75,70,65,90,125,135,145,145,135,1540,1204175,1403,18.7,25,1112,2750,215,1780,7550,3065,340,2410,2750,3870,7490,885,310,230,200,35,75
"135","9330111.04","CT","Burrard Inlet 3",1.05651,1855,932,920,"59933","59","5915806","5915",78702,920,20,5,25,25,30,25,30,40,35,30,70,65,60,65,65,325,0,0,0,0,0,920,0,290,1855,845,175,745,920,1175,1830,330,80,80,40,40,0
"136","9330111.05","CT","North Vancouver",3.40349,5005,1755,1721,"59933","59","5915046","5915",92562,1720,35,20,30,30,30,35,40,45,60,40,100,125,125,115,120,780,1000169,1523,20.7,29.7,1566,1725,130,1055,4575,1905,590,1140,1725,2585,4525,860,330,235,200,30,100
"137","9330111.06","CT","North Vancouver",0.49049,123,40,37,"59933","59","5915046","5915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,40,0,0,130,30,0,25,40,80,125,15,10,10,10,0,0
"138","9330111.07","CT","North Vancouver",24.10623,4285,1849,1678,"59933","59","5915046","5915",91904,1680,35,20,20,35,45,45,40,50,35,55,120,95,115,100,110,745,673393,1603,24.5,34.6,1769,1685,100,1310,4290,1855,405,1285,1690,2515,4235,830,280,245,190,60,35
"139","9330112.00","CT","North Vancouver",1.06754,2765,1160,1098,"59933","59","5915046","5915",88448,1095,15,5,15,25,45,35,40,35,45,25,65,65,70,60,55,490,1392985,1346,21.5,48.9,1149,1085,495,505,2745,1070,225,860,1085,1405,2730,300,110,85,75,10,25
"140","9330113.00","CT","North Vancouver",2.95841,7734,3050,2975,"59933","59","5915046","5915",84928,2975,40,30,70,135,145,90,110,90,100,85,180,160,185,150,140,1260,1103983,1295,22.9,48.2,1645,2975,680,2055,7605,2945,1120,1850,2975,3960,7500,910,395,265,195,65,130
"141","9330114.01","CT","North Vancouver",1.70479,2920,981,959,"59933","59","5915046","5915",134656,955,5,5,10,5,25,10,10,15,25,25,45,45,40,30,35,630,1302175,1406,19.1,36.8,1882,960,115,475,2940,1335,100,865,965,1550,2920,330,100,75,75,0,25
"142","9330114.02","CT","North Vancouver",2.02093,5315,1879,1789,"59933","59","5915046","5915",114624,1790,30,10,20,30,25,30,40,45,40,55,95,85,95,100,75,1025,1300711,1301,19.2,23.8,1694,1790,345,1235,5240,2125,315,1475,1785,2845,5205,570,210,165,140,25,45
"143","9330115.00","CT","North Vancouver",4.79478,5836,2044,1992,"59933","59","5915046","5915",103595,1990,20,15,25,35,60,50,50,60,45,75,110,100,105,120,80,1030,1103949,1408,19.8,45.5,1608,1995,345,1435,5520,2305,325,1665,1990,3015,5460,745,285,190,135,55,95
"144","9330116.00","CT","North Vancouver",16.10803,5238,1933,1797,"59933","59","5915046","5915",121702,1795,30,20,20,25,35,35,30,40,45,35,95,95,75,70,85,1065,1752885,1756,22,43.9,1252,1800,520,1210,5240,2220,330,1465,1800,2715,5180,665,275,195,165,25,75
"145","9330117.00","CT","North Vancouver",2.38266,6001,2310,2142,"59933","59","5915046","5915",113971,2140,45,20,25,45,50,55,55,50,40,60,100,110,100,100,100,1185,1603350,1581,24.3,47.7,1321,2140,910,1485,5895,2385,445,1700,2140,3030,5865,770,300,245,185,60,55
"146","9330118.00","CT","North Vancouver",3.55455,8073,3650,3493,"59933","59","5915046","5915",68807,3490,85,65,100,185,160,170,120,135,115,130,270,240,215,190,160,1160,949984,1255,29.6,54.3,1355,3495,950,3105,8065,3785,1160,2335,3495,4700,7990,1105,425,285,220,70,135
"147","9330119.00","CT","North Vancouver",1.34404,2280,881,824,"59933","59","5915046","5915",109440,825,10,10,15,15,25,20,15,20,15,25,35,40,35,40,45,455,1597743,2056,24.6,48,1715,815,390,740,2315,950,120,690,810,1135,2295,345,220,120,80,40,100
"148","9330120.00","CT","North Vancouver",2.36858,3813,1403,1358,"59933","59","5915046","5915",118528,1360,25,10,10,30,20,30,25,30,25,40,60,75,60,70,55,795,1797078,2441,19.2,50,1086,1370,540,1040,3755,1575,200,1175,1365,1850,3735,405,210,130,110,20,80
"149","9330121.00","CT","North Vancouver",1.85344,4489,1551,1440,"59933","59","5915046","5915",139410,1440,30,10,20,15,25,30,25,30,25,30,60,60,60,45,55,925,2104876,2317,25,44.8,2050,1420,925,1130,4425,1895,145,1275,1420,2265,4410,520,210,190,130,60,25
"150","9330122.00","CT","North Vancouver",20.57512,4183,1440,1358,"59933","59","5915046","5915",126976,1355,20,10,10,25,30,25,30,30,30,25,65,65,70,50,50,820,1602884,2004,24.8,46.9,1800,1375,230,1580,4220,1830,165,1210,1380,2090,4190,460,190,170,115,55,20
"151","9330130.01","CT","West Vancouver",0.88038,4634,2865,2639,"59933","59","5915055","5915",62357,2640,75,40,50,120,135,130,115,125,125,120,235,195,165,130,115,770,1104776,1700,25.8,62,1008,2595,370,970,4355,1250,1240,1355,2600,1560,4335,650,255,180,125,55,75
"152","9330130.03","CT","Capilano 5",1.50249,4797,2666,2449,"59933","59","5915808","5915",50400,2450,80,75,125,185,165,135,130,120,105,105,155,145,120,100,80,625,897701,1299,34.9,56.7,957,2485,360,2015,4720,1640,1165,1320,2480,2140,4695,890,425,200,150,50,230
"153","9330130.04","CT","Capilano 5",1.79039,2931,1433,1309,"59933","59","5915808","5915",38933,1310,80,50,70,105,100,85,90,90,70,60,100,95,70,40,35,165,0,0,0,0,0,1305,135,1045,2915,1160,915,355,1305,1675,2890,570,315,155,125,35,160
"154","9330131.00","CT","West Vancouver",3.37004,7050,2778,2579,"59933","59","5915055","5915",92416,2580,60,30,45,130,135,100,90,85,70,75,115,110,100,115,95,1220,2593530,1188,31.2,69,1420,2580,1065,2345,6795,2660,580,1995,2580,3190,6770,820,390,220,190,30,165
"155","9330132.00","CT","West Vancouver",3.30046,3655,1378,1259,"59933","59","5915055","5915",144128,1260,40,15,15,20,20,20,25,25,20,35,45,45,60,50,40,785,3004061,2297,27.6,38.2,1733,1265,385,750,3565,1295,170,1095,1265,1635,3545,400,160,60,45,10,100
"156","9330133.01","CT","West Vancouver",3.91186,3675,1518,1430,"59933","59","5915055","5915",127488,1430,35,10,30,45,40,25,25,35,30,30,55,65,60,50,50,850,1766401,1204,18.6,51,1334,1460,405,515,3635,1460,245,1215,1460,1805,3630,325,185,175,145,30,15
