"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA1996_7: 0-4","v_CA1996_8: 5-9","v_CA1996_9: 10-14","v_CA1996_31: 0-4","v_CA1996_32: 5-9","v_CA1996_33: 10-14","v_CA1996_783: Total - Total population by visible minority population","v_CA1996_784: Total visible minority population","v_CA1996_1347: Total population 15 years and over by highest level of schooling","v_CA1996_1356: University","v_CA1996_1385: Total by mobility status 1 year ago","v_CA1996_1386: Non-movers","v_CA1996_1387: Movers","v_CA1996_1388: Non-migrants","v_CA1996_1389: Migrants","v_CA1996_1390: Internal migrants","v_CA1996_1391: Intraprovincial migrants","v_CA1996_1392: Interprovincial migrants","v_CA1996_1393: External migrants","v_CA1996_1403: All persons with employment income by work activity","v_CA1996_1454: Median income $","v_CA1996_1614: Household income of all private households","v_CA1996_1615: Under $10,000","v_CA1996_1616: $  10,000 - $19,999","v_CA1996_1617: $  20,000 - $29,999","v_CA1996_1618: $  30,000 - $39,999","v_CA1996_1619: $  40,000 - $49,999","v_CA1996_1620: $  50,000 - $59,999","v_CA1996_1621: $  60,000 - $69,999","v_CA1996_1622: $  70,000 - $79,999","v_CA1996_1623: $  80,000 - $89,999","v_CA1996_1624: $  90,000 - $99,999","v_CA1996_1625: $100,000 and over","v_CA1996_1626: Average household income $","v_CA1996_1627: Median household income $","v_CA1996_1628: Standard error of average household income $","v_CA1996_1701: Average gross rent $","v_CA1996_1702: Gross rent spending  30% or more of household income on shelter costs","v_CA1996_1704: Average owner's major payments $","v_CA1996_1705: Owner's major payments spending 30% or more of household income on shelter costs","v_CA1996_1678: Total number of occupied private dwellings","v_CA1996_1681: Average value of dwelling $","v_CA1996_1682: Owned","v_CA1996_1683: Rented","v_CA1996_1688: Period of construction, before 1946","v_CA1996_1689: Period of construction, 1946-1960"
"205","9330143.04","CT","Richmond",1.31644087047345,5414,1582,1575,"59933","","5915015","5915",115,185,225,115,145,210,5410,3065,4410,1470,5345,4700,650,300,350,55,20,30,300,2480,17947,1575,120,200,120,195,185,95,135,140,70,85,235,61639,48108,3184,1040,130,896,355,1575,444542,1320,260,20,105
"206","9330144.01","CT","Richmond",1.98419666975442,7707,2651,2635,"59933","","5915015","5915",240,235,275,180,190,245,7595,2895,6230,1815,7530,6005,1520,870,650,420,265,155,230,4335,19803,2630,135,250,305,335,375,305,265,165,160,60,270,53705,48045,1420,880,390,775,380,2635,269220,1650,985,60,285
"207","9330118.00","CT","North Vancouver",3.56973459789728,7012,3078,3060,"59933","","5915046","5915",220,185,180,220,190,175,7010,1810,5840,2300,6880,5655,1225,700,525,280,205,75,245,4030,25017,3060,220,395,400,325,330,295,225,210,155,135,385,55129,45104,1641,838,490,986,550,3060,278762,1945,1115,315,780
"208","9330144.02","CT","Richmond",2.04781828463751,7520,2349,2345,"59933","","5915015","5915",225,240,260,185,260,270,7515,3475,6070,1800,7435,6395,1040,685,350,180,130,55,170,4065,19212,2345,150,240,225,255,250,260,220,235,130,95,285,57528,52492,1651,1003,240,825,470,2345,319332,1835,510,20,280
"209","9330120.00","CT","North Vancouver",2.35735198898941,3801,1316,1315,"59933","","5915046","5915",80,125,150,105,125,150,3785,525,3045,1355,3775,3185,590,340,245,170,85,80,75,2040,28976,1315,15,80,125,95,115,105,130,115,55,55,430,87326,69738,3762,1339,90,1032,155,1315,414935,1095,215,45,595
"210","9330121.00","CT","North Vancouver",1.82195776139939,4331,1456,1455,"59933","","5915046","5915",135,175,185,105,160,200,4325,570,3375,1630,4285,3810,470,280,195,125,70,60,65,2330,29435,1455,45,65,110,105,125,125,110,160,90,80,440,84379,71889,3917,1456,90,957,170,1455,395781,1270,185,80,1035
"211","9330145.00","CT","Richmond",2.74732342640839,7240,2144,2135,"59933","","5915015","5915",185,220,325,155,190,295,7220,4480,5855,1910,7165,6290,875,420,450,215,140,75,235,3435,16587,2135,155,185,355,215,215,180,160,120,155,85,300,56562,47255,1859,1059,145,939,490,2135,395494,1755,375,50,145
"212","9330122.00","CT","North Vancouver",19.3303852347725,4156,1300,1300,"59933","","5915046","5915",95,165,155,80,125,180,4150,1050,3350,1905,4105,3530,575,275,295,195,145,45,105,2355,28984,1300,45,60,55,90,90,55,95,100,55,105,550,103272,89654,4326,1364,40,1179,165,1300,437615,1190,105,0,240
"213","9330130.01","CT","West Vancouver",0.876205998999521,4575,2693,2625,"59933","","5915055","5915",40,50,50,30,35,55,4450,555,4190,1845,4445,3745,700,370,330,275,210,60,55,2055,27585,2625,90,375,405,400,280,245,185,105,80,75,380,58816,41361,2454,1002,700,722,235,2625,441338,1305,1320,215,265
"214","9330146.00","CT","Richmond",4.73442337761885,6117,1889,1880,"59933","","5915015","5915",230,215,200,220,205,195,6110,3095,4840,1285,6025,5215,815,495,320,260,195,70,55,3540,19470,1880,100,155,135,245,220,220,135,180,180,65,245,58895,52789,1743,901,185,962,385,1880,341838,1390,490,25,175
"215","9330147.01","CT","Richmond",2.66771821504824,2252,676,670,"59933","","5915015","5915",55,65,90,55,60,70,2245,965,1845,480,2205,1825,375,205,175,115,75,40,50,1290,20900,675,40,50,70,45,65,120,55,45,30,20,130,64894,56715,3569,1001,60,948,105,670,494058,475,205,65,145
"216","9330130.02","CT","Capilano 5",3.18797760687336,6305,3549,3470,"59933","","5915808","5915",80,100,115,80,80,100,6135,895,5575,2100,6115,4810,1305,720,580,440,315,120,140,2980,22383,3475,285,680,610,490,315,250,180,120,110,90,335,46996,32405,1564,783,485,773,215,3470,356889,1365,2050,250,375
"217","9330147.02","CT","Richmond",1.09873177984798,7445,3618,3565,"59933","","5915015","5915",210,135,140,215,150,110,7445,3465,6475,1960,7305,5205,2100,975,1120,675,465,215,440,4195,19316,3565,405,540,530,595,555,325,210,195,70,55,85,37523,35150,864,768,855,724,570,3565,163835,1805,1760,0,135
"218","9330131.00","CT","West Vancouver",3.26770936719823,6929,2495,2490,"59933","","5915055","5915",130,230,260,190,225,220,6685,1005,5425,2640,6630,5755,875,355,510,245,220,20,265,3570,27908,2490,65,365,115,220,170,225,165,170,140,135,710,82330,64993,3043,931,250,1010,370,2490,496683,2020,475,660,870
"219","9330147.03","CT","Richmond",1.34457611627865,14303,6440,6380,"59933","","5915015","5915",405,310,330,385,295,300,14265,7465,12240,3910,14080,10820,3260,1720,1540,890,615,280,650,7845,20586,6385,550,950,865,1015,885,620,465,395,275,140,215,41950,37396,719,895,965,823,1370,6380,186572,4090,2290,30,45
"220","9330132.00","CT","West Vancouver",3.22472659843039,3841,1343,1340,"59933","","5915055","5915",105,150,130,80,140,140,3840,465,3085,1835,3790,3405,390,230,155,140,120,20,20,2220,36127,1340,25,65,70,30,100,50,110,115,65,50,650,162164,93716,14138,1474,40,1395,230,1335,800614,1250,90,310,405
"221","9330133.00","CT","West Vancouver",40.8109676841371,9187,3193,3170,"59933","","5915055","5915",245,315,320,220,305,280,9185,850,7505,4160,9095,8090,1010,555,455,290,220,70,165,5550,32439,3175,85,120,165,170,170,145,250,205,220,145,1485,127854,93016,6635,1212,135,1317,510,3175,620853,2860,310,220,495
"222","9330134.00","CT","West Vancouver",15.0601128264339,6563,2262,2210,"59933","","5915055","5915",90,155,245,105,165,215,6490,2125,5500,2925,6455,5460,995,480,510,265,235,30,250,3380,29397,2215,95,125,125,175,185,170,165,135,95,95,850,107680,73796,7217,1476,190,1287,445,2215,743940,1810,405,270,530
"223","9330135.00","CT","West Vancouver",22.4265793916125,5623,1790,1770,"59933","","5915055","5915",100,175,215,95,160,230,5620,1865,4650,2460,5585,4735,845,405,445,315,190,120,135,2970,27449,1770,80,70,120,130,100,105,115,125,135,70,715,111846,81723,6536,2321,200,1351,370,1765,683602,1450,315,80,830
"224","9330160.04","CT","Delta",2.71714786132145,3647,1486,1475,"59933","","5915011","5915",110,100,105,90,100,115,3640,265,3020,950,3585,3005,580,355,225,180,150,25,40,2090,28567,1475,30,190,100,125,205,140,150,135,90,55,260,65264,57917,2620,810,150,965,180,1475,303808,1110,365,10,60
