"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"37","5350034.01","CT","Toronto",0.12455,4504,3102,2563,"35535","35","3520005","3520","0.23399999999999999",975,64.6,1590,29.7,1666,421615,1143,1652,440948,1150
"38","5350034.02","CT","Toronto",0.39824,5207,3342,3060,"35535","35","3520005","3520","0.212",955,77,2105,26.8,1658,331065,1201,1734,361493,1160
"39","5350035.00","CT","Toronto",0.66273,7262,4994,4230,"35535","35","3520005","3520","0.27399999999999997",1520,66.1,2710,6.8,1499,378984,1502,1520,389324,1519
"40","5350036.00","CT","Toronto",0.38343,4915,2986,2816,"35535","35","3520005","3520","0.275",930,47.6,1885,27.9,1308,375766,1108,1380,427342,1102
"41","5350037.00","CT","Toronto",0.45102,4873,2460,2218,"35535","35","3520005","3520","0.307",590,40.2,1630,17.5,1198,500533,1010,1561,581965,1083
"42","5350038.00","CT","Toronto",0.36616,4029,1931,1766,"35535","35","3520005","3520","0.294",635,52,1130,29.1,1080,500856,791,1413,511512,937
"43","5350039.00","CT","Toronto",0.31773,4678,1909,1834,"35535","35","3520005","3520","0.27399999999999997",505,79.4,1330,52.3,1824,410175,728,1826,469662,825
"44","5350040.00","CT","Toronto",0.36873,4904,1971,1813,"35535","35","3520005","3520","0.34299999999999997",1170,53.4,645,7,1110,549672,949,1495,593039,1091
"45","5350041.00","CT","Toronto",0.31712,3459,1520,1438,"35535","35","3520005","3520","0.336",890,53.9,560,0,1153,548998,1298,1474,563617,1243
"46","5350042.00","CT","Toronto",0.48994,4532,2073,1953,"35535","35","3520005","3520","0.355",1015,48.3,940,3.2,967,599834,1003,1356,605073,1082
"47","5350043.00","CT","Toronto",0.55392,3907,1724,1638,"35535","35","3520005","3520","0.45299999999999996",830,53.6,795,1.9,1086,625035,1004,1516,615235,1139
"48","5350044.00","CT","Toronto",0.49064,5033,2618,2381,"35535","35","3520005","3520","0.40399999999999997",1150,54.8,1230,17.5,1205,528501,1110,1301,570672,1071
"49","5350045.00","CT","Toronto",0.29514,3637,1699,1591,"35535","35","3520005","3520","0.327",660,47,980,14.8,851,501585,920,1420,658368,942
"50","5350046.00","CT","Toronto",0.42039,3380,1406,1333,"35535","35","3520005","3520","0.409",670,67.2,615,16.3,1562,500578,902,1522,594980,937
"51","5350047.01","CT","Toronto",0.39188,3459,1605,1522,"35535","35","3520005","3520","0.369",940,66,580,12.9,1573,550019,957,1586,556441,1070
"52","5350047.02","CT","Toronto",0.28694,4189,2082,1925,"35535","35","3520005","3520","0.34",420,63.1,1515,36.4,1413,474820,804,1455,499886,773
"53","5350048.00","CT","Toronto",0.3349,3516,1700,1575,"35535","35","3520005","3520","0.38",850,65.9,765,6.5,1865,599959,969,1768,615602,1046
"54","5350049.00","CT","Toronto",0.46479,3641,1507,1405,"35535","35","3520005","3520","0.375",655,70,710,0,1779,696717,1010,1848,717564,1057
"55","5350050.01","CT","Toronto",1.46504,6824,3503,3212,"35535","35","3520005","3520","0.18899999999999997",2685,49.5,525,0,1225,400444,1249,1522,562398,1294
"56","5350050.02","CT","Toronto",2.70273,5952,2910,2789,"35535","35","3520005","3520","0.249",1615,57.5,1175,16.9,1405,552033,951,1631,645568,1014
"57","5350051.00","CT","Toronto",0.69119,5323,2627,2487,"35535","35","3520005","3520","0.284",1020,50.7,1465,6.2,1234,802245,955,1701,832761,995
"58","5350052.00","CT","Toronto",0.50129,3886,1870,1752,"35535","35","3520005","3520","0.301",945,64,805,8,1552,576171,974,1529,559363,1055
"59","5350053.00","CT","Toronto",0.68314,5639,2602,2436,"35535","35","3520005","3520","0.348",1255,58.4,1185,13.6,1342,448707,1001,1329,455560,981
"60","5350054.00","CT","Toronto",0.70239,5810,2882,2676,"35535","35","3520005","3520","0.28600000000000003",755,58.3,1920,0,1451,501531,1052,1512,596838,1046
"61","5350055.00","CT","Toronto",0.27636,2693,1393,1269,"35535","35","3520005","3520","0.434",525,50.9,720,0,1292,649728,1097,1417,643922,1122
"62","5350056.00","CT","Toronto",0.50948,4778,2115,2000,"35535","35","3520005","3520","0.39399999999999996",930,36,1070,0,732,599312,1111,1214,615563,1187
"63","5350057.00","CT","Toronto",0.26644,2406,1222,1114,"35535","35","3520005","3520","0.366",410,37.8,705,0,783,699062,1279,1510,726017,1284
"64","5350058.00","CT","Toronto",0.38414,3869,2065,1875,"35535","35","3520005","3520","0.38",780,50,1095,16.9,1208,751445,1124,1774,796774,1147
"65","5350059.00","CT","Toronto",0.36663,3955,1631,1503,"35535","35","3520005","3520","0.413",790,42.4,720,0,883,749699,1318,1472,708974,1461
"66","5350060.00","CT","Toronto",0.27159,2400,1453,1315,"35535","35","3520005","3520","0.38299999999999995",515,63.5,800,8.8,1489,649477,1103,1614,649429,1247
"67","5350061.00","CT","Toronto",0.76722,1427,544,474,"35535","35","3520005","3520","0.41100000000000003",25,0,440,45.5,925,601307,840,1175,789976,893
"68","5350062.01","CT","Toronto",0.10685,4981,3237,2906,"35535","35","3520005","3520","0.242",440,53.4,2470,12.8,1276,348475,1240,1407,392073,1384
"69","5350062.02","CT","Toronto",0.58534,6461,4378,3851,"35535","35","3520005","3520","0.248",1590,55.2,2260,9.5,1418,399721,1570,1529,578631,1479
"70","5350063.01","CT","Toronto",0.32212,8293,6285,5800,"35535","35","3520005","3520","0.319",1315,65.4,4485,11.6,1558,349460,1104,1592,525641,1130
"71","5350063.02","CT","Toronto",0.23431,6934,5046,4761,"35535","35","3520005","3520","0.26899999999999996",910,70.9,3850,15.3,1543,438461,1037,1822,492096,1041
"72","5350064.00","CT","Toronto",0.19472,3858,2894,2470,"35535","35","3520005","3520","0.304",575,80,1895,16.1,1694,400537,1074,1761,459526,1103
"73","5350065.00","CT","Toronto",0.22954,13974,7096,6733,"35535","35","3520005","3520","0.217",40,42.9,6695,28.2,1149,379847,886,1369,425108,816
"74","5350066.00","CT","Toronto",0.32848,8032,4777,4616,"35535","35","3520005","3520","0.315",1630,57.2,2980,18.8,1330,325503,1002,1442,378325,972
"75","5350067.00","CT","Toronto",0.66344,1677,874,808,"35535","35","3520005","3520","0.152",670,54.1,140,0,1530,749777,1145,1945,777361,1258
