"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"37","9330019.00","CT","Vancouver",1.84676,4848,1994,1892,"59933","59","5915022","5915","0.308",1230,46.3,665,25.6,917,897993,974,1399,969405,1046
"38","9330020.00","CT","Vancouver",1.39343,2726,933,881,"59933","59","5915022","5915","0.272",715,40.8,160,0,1085,1502637,927,1895,1649310,1384
"39","9330021.00","CT","Vancouver",2.21217,3955,1362,1281,"59933","59","5915022","5915","0.337",1125,38.2,185,0,1537,3003369,875,2359,3106199,1424
"40","9330022.00","CT","Vancouver",0.31966,3177,1775,1651,"59933","59","5915022","5915","0.314",615,29.3,1035,5.8,884,684929,1330,1184,1014707,1345
"41","9330023.00","CT","Vancouver",1.20023,4354,1498,1397,"59933","59","5915022","5915","0.225",1135,38.9,265,0,1082,1847193,1324,1947,1889612,1621
"42","9330024.00","CT","Vancouver",1.7023,5951,2160,2012,"59933","59","5915022","5915","0.225",1630,35.5,380,0,935,1802154,1410,1769,1931721,1630
"43","9330025.00","CT","Vancouver",1.98912,7413,2876,2630,"59933","59","5915022","5915","0.266",2025,40.5,605,2.5,873,1503879,1301,1755,1591516,1455
"44","9330026.00","CT","Vancouver",1.25934,4913,1909,1782,"59933","59","5915022","5915","0.278",1410,37.9,375,17.3,948,1747439,983,1904,1791925,1172
"45","9330027.01","CT","Vancouver",1.2721,4145,1514,1430,"59933","59","5915022","5915","0.331",1215,35.2,180,0,903,1503647,1244,1636,1580482,1585
"46","9330027.02","CT","Vancouver",1.02856,4027,1537,1385,"59933","59","5915022","5915","0.272",1100,50.9,285,10.7,1265,1503277,1605,1960,1634704,1723
"47","9330028.00","CT","Vancouver",1.4746,3116,1298,1169,"59933","59","5915022","5915","0.271",815,39.3,360,0,1250,2001396,1207,1855,2088355,1342
"48","9330029.00","CT","Vancouver",1.50157,6512,2761,2632,"59933","59","5915022","5915","0.264",1495,55.2,1130,3.5,1214,1001235,1198,1644,1079139,1294
"49","9330030.00","CT","Vancouver",1.45623,6629,2525,2405,"59933","59","5915022","5915","0.244",1555,47.9,850,1.8,916,898067,952,1511,940997,1111
"50","9330031.01","CT","Vancouver",0.89854,5660,2539,2421,"59933","59","5915022","5915","0.242",1285,52.5,1140,2.6,1021,1002154,982,1699,1107491,1104
"51","9330031.02","CT","Vancouver",0.69343,4657,1880,1764,"59933","59","5915022","5915","0.222",1010,54,755,3.3,1213,801082,1022,1402,794378,1068
"52","9330032.00","CT","Vancouver",1.24197,8249,3329,3156,"59933","59","5915022","5915","0.193",1785,61.2,1370,6.6,1150,700150,1002,1372,700214,1062
"53","9330033.01","CT","Vancouver",0.68227,4643,1774,1614,"59933","59","5915022","5915","0.24100000000000002",1050,56.7,565,8,1299,799056,851,1472,780426,953
