,FIPS,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,trtid_base,trtid90
560,13121011504,4917.729734727883,4758.496015907628,1750.6451295878062,154.60483164524783,259.6805705179163,627.2142122135054,671.6515290935766,215.70614235534578,983.6385246890768,440.20717034320563,91050.21073239595,311.5241068779994,30753.400613314298,1561.3236441300028,146.7357234477352,25.921768180041553,46.75176046757494,27.77332305004452,14.812438960023744,31.013544072549713,17.126882547527455,50.45487020758088,16.20110511252597,43.048650727569004,20.82999228753339,56.47242353509053,46.75176046757494,55.54664610008904,28.699100485046003,27.310434332543778,21.292881005034133,45.82598303257346,25.921768180041553,107.39018246017214,47.677537902576425,241.16502181788658,305.9694422679905,219.87214081285245,64.34153173260314,162.47393984276044,13,121,011504,13121011500,13121011500
561,13121011505,665.5112750624843,643.9623407042864,236.91299343809447,20.92251184778518,35.14230283415415,84.8802501609249,90.89390626088712,29.191288985233214,133.1147834627051,59.57278074025062,12321.730779818397,42.15823495077672,4161.825874680095,211.2923127622138,19.857593580083538,3.507966058311288,6.326867355168573,3.75853506247638,2.004552033320736,4.197030819765291,2.3177632885271007,6.8280053634987565,2.1924787864445547,5.825729346838388,2.818901296857285,7.6423546270353055,6.326867355168573,7.51707012495276,3.8838195645589257,3.695892811435107,2.881543547898558,6.201582853086027,3.507966058311288,14.533002241575335,6.452151857251119,32.63661279250323,41.40652793828145,29.755069244604673,8.707272894736946,21.98743011548682,13,121,011505,13121011500,13121011500
562,13121011506,908.4236993721128,879.0093777809976,323.3865240046433,28.559254103001287,47.96928608318479,115.86164463942139,124.07029252531397,39.84614494610359,181.70184122418482,81.31691811962342,16819.17749119866,57.546041950059475,5680.897377530538,288.41426374078844,27.105639373207808,4.788377933437341,8.63618162994949,5.130404928682866,2.736215961964195,5.7289521703625335,3.1637497060211004,9.32023562044054,2.9927362083983384,7.952127639458442,3.847803696512149,10.431823354988493,8.63618162994949,10.260809857365732,5.301418426305628,5.044898179871485,3.9333104453235306,8.465168132326728,4.788377933437341,19.837565724240413,8.807195127572253,44.54901613072955,56.519960964322905,40.61570568540602,11.885438084781972,30.012868832794766,13,121,011506,13121011500,13121011500
563,13121011610,1938.6464438452483,1856.2436151290103,748.601359289844,57.76917886191283,114.2303763156314,285.5759407890785,317.1854914871063,91.34070167223199,327.867339654026,107.90846617602585,24677.249234598235,134.2860912412766,9629.577124027453,546.7362286251977,216.0349292534174,27.467609572079308,40.76542055538754,8.93787295599406,15.477779996965324,19.61972112291379,18.09374281335383,28.121600276176434,27.03161576934789,17.003758306525285,14.169798588771071,29.865575487102102,24.633649854325093,29.211584783004977,24.8516467556908,30.51956619119923,27.685606473445016,29.865575487102102,16.13177070106245,45.997346188164556,55.80720674962145,101.15056223368887,66.48905491654118,17.439752109256702,13.515807884673945,18.747733517450957,13,121,011610,13121011601,13121011601
564,13121011611,1538.9615371907157,1473.5474518361568,594.2644685385042,45.85908100253454,90.67984318991735,226.69960797479337,251.7923126742934,72.50926392476215,260.27191633136584,85.66130225001734,19589.614979195885,106.60073168891047,7644.276170282861,434.0172647334212,171.4956576358933,21.80469511818623,32.36093640556211,7.095178570203457,12.286772645962083,15.57478222727588,14.363410276265535,22.323854525762094,21.45858884646899,13.49814459697243,11.248453830810359,23.708279612631063,19.55500435202416,23.1891202050552,19.728057487882783,24.227439020206926,21.977748254044855,23.708279612631063,12.805932053537946,36.51421166616901,44.30160277980695,80.29665503840009,52.78120643687937,13.844250868689672,10.729294423234496,14.882569683841396,13,121,011611,13121011601,13121011601
565,13121011612,983.5378944010515,923.2938144086522,332.74476956695776,9.872400445681823,14.584227931120873,94.23654970878103,129.79962858697579,47.67920669789516,272.2763168371566,84.70070836920199,23345.98332666349,112.29855506963072,8109.055102440608,321.75050543426664,13.574550612812505,2.8046592175232448,4.038709273233472,1.009677318308368,1.5706091618130171,0.7853045809065086,5.49713206634556,1.682795530513947,0.0,5.2727593289437005,0.8974909496074384,9.087095864775314,5.833691172448349,7.067741228158577,7.516486702962296,8.301791283868805,7.740859440364156,7.179927596859507,7.404300334261366,16.82795530513947,20.642291840971083,52.95196602683886,61.702502785511385,41.957701894147746,18.062005360849696,36.909315302605904,13,121,011612,13121011603,13121011603
566,13121011613,1240.719923464557,1164.7228208182166,419.7530846350948,12.453901364763434,18.397808834309618,118.87814939092368,163.7404986253556,60.146682727550676,343.4729387759188,106.84881284541355,29450.646295537164,141.66312802418406,10229.464755088982,405.8839672061537,17.12411437654972,3.538040160444157,5.094777831039586,1.2736944577598965,1.9813024898487281,0.9906512449243641,6.9345587144705485,2.1228240962664944,0.0,6.651515501635015,1.1321728513421303,11.463250119839069,7.359123533723847,8.915861204319276,9.48194762999034,10.472598874914706,9.764990842825874,9.057382810737042,9.340426023572576,21.228240962664945,26.039975580868997,66.79819822918569,77.83688352977146,52.92908080024459,22.784978633260373,46.56060851144511,13,121,011613,13121011603,13121011603
567,13121011614,2567.4797178837694,2458.330830090028,991.4330704830907,76.49954373153047,151.26651555648644,378.1980979947538,420.06544341651784,120.97175601191819,434.24692052765494,142.92246300185244,32683.01636130563,177.84386432348006,12753.427840095737,724.0672025015479,286.12723796194,36.37386640712734,53.98294487125877,11.837587508722285,20.497304721141397,25.983561911578,23.962338277432416,37.240758773133685,35.79700397941726,22.517536043564835,18.769970015322667,39.55394184059084,32.620842664413345,38.69013666660895,32.90960464884243,40.41807778514678,36.66736943645113,39.552839272010665,21.36601632530502,60.92133637662107,73.90757692529473,133.9649978710759,88.06259239050782,23.10404594635136,17.89910840242772,24.83171142274414,13,121,011614,26242023203,26242023203
568,13121011615,2828.181632345983,2707.949765469274,1092.103193692139,84.26730811439157,166.6261189546814,416.6003363869107,462.7188924526682,133.2552292438538,478.3403568817276,157.4348112259503,36001.65014697589,195.90213196296304,14048.411021738604,797.5889929860476,315.18060036900386,40.06726914081941,59.46437359617399,13.039576254589214,22.578601233396395,28.6219330300378,26.395474329259493,41.02218576574253,39.43183209682794,24.803966863111043,20.675872945463944,43.570249463409574,35.9331633323222,42.61873350401785,36.251246211339165,44.52212977982253,40.390574470473844,43.569034940005515,23.535521821936207,67.10728943960088,81.41215297451434,147.56780500238307,97.00446884187625,25.450030986888073,19.716584036286203,27.353123631841747,13,121,011615,26242023203,26242023203
569,13121011616,1271.4575929807006,1173.4876217956273,516.3841713213842,17.40486169291996,33.12789813553558,163.65055761999503,196.3096482515829,67.85628905377025,291.7158951208314,101.3470703614275,19430.70446830311,87.49385013417526,7159.1146366957955,327.28676998586127,186.5841415744015,9.542126686663725,12.912053235953755,7.289830657377722,7.7139373247990815,12.479365032580345,10.797411699649855,11.924008003484381,10.662575024443052,6.8743055259084125,19.34047804799531,22.011373191778222,8.139580983734241,27.47442339617895,8.419885192118299,17.388851364651213,21.870004302637767,19.209611934199156,14.718724716625196,40.23229948037725,32.39313167733261,77.8083052363527,60.55710836468358,30.269268191945915,6.872256203890013,19.48325584602341,13,121,011616,26242023203,26242023203
