,GeoUID,Unnamed: 0,trtid_base,Area (sq km),Population,Dwellings,Households,CMA_UID,PR_UID,CSD_UID,CD_UID,v_CA1996_7: 0-4,v_CA1996_8: 5-9,v_CA1996_9: 10-14,v_CA1996_31: 0-4,v_CA1996_32: 5-9,v_CA1996_33: 10-14,v_CA1996_783: Total - Total population by visible minority population,v_CA1996_784: Total visible minority population,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1356: University,v_CA1996_1385: Total by mobility status 1 year ago,v_CA1996_1386: Non-movers,v_CA1996_1387: Movers,v_CA1996_1388: Non-migrants,v_CA1996_1389: Migrants,v_CA1996_1390: Internal migrants,v_CA1996_1391: Intraprovincial migrants,v_CA1996_1392: Interprovincial migrants,v_CA1996_1393: External migrants,v_CA1996_1403: All persons with employment income by work activity,v_CA1996_1454: Median income $,v_CA1996_1614: Household income of all private households,"v_CA1996_1615: Under $10,000","v_CA1996_1616: $  10,000 - $19,999","v_CA1996_1617: $  20,000 - $29,999","v_CA1996_1618: $  30,000 - $39,999","v_CA1996_1619: $  40,000 - $49,999","v_CA1996_1620: $  50,000 - $59,999","v_CA1996_1621: $  60,000 - $69,999","v_CA1996_1622: $  70,000 - $79,999","v_CA1996_1623: $  80,000 - $89,999","v_CA1996_1624: $  90,000 - $99,999","v_CA1996_1625: $100,000 and over",v_CA1996_1627: Median household income $,v_CA1996_1701: Average gross rent $,v_CA1996_1702: Gross rent spending  30% or more of household income on shelter costs,v_CA1996_1704: Average owner's major payments $,v_CA1996_1705: Owner's major payments spending 30% or more of household income on shelter costs,v_CA1996_1678: Total number of occupied private dwellings,v_CA1996_1681: Average value of dwelling $,v_CA1996_1682: Owned,v_CA1996_1683: Rented,"v_CA1996_1688: Period of construction, before 1946","v_CA1996_1689: Period of construction, 1946-1960",ctuid_s
0,9330001.01,166.0,9330001.01,1.06917147093463,6420.0,2232.0,2230.0,59933,0.0,5915022.0,5915.0,175.0,200.0,295.0,175.0,200.0,260.0,6315.0,2810.0,5020.0,1580.0,6270.0,5445.0,825.0,525.0,300.0,185.0,125.0,55.0,120.0,3485.0,20274.0,2230.0,125.0,320.0,285.0,255.0,240.0,190.0,170.0,225.0,125.0,105.0,180.0,43889.0,706.0,315.0,876.0,290.0,2230.0,244736.0,1175.0,1055.0,10.0,10.0,9330001.01
1,9330001.02,170.0,9330001.02,1.88297379528172,3844.0,1334.0,1330.0,59933,0.0,5915022.0,5915.0,170.0,130.0,130.0,130.0,130.0,125.0,3720.0,1880.0,2910.0,1005.0,3655.0,3065.0,595.0,345.0,250.0,110.0,75.0,35.0,140.0,1890.0,22124.0,1335.0,105.0,175.0,170.0,175.0,130.0,135.0,105.0,85.0,80.0,50.0,110.0,42059.0,737.0,245.0,1032.0,190.0,1335.0,307089.0,765.0,570.0,0.0,10.0,9330001.02
2,9330002.01,171.0,9330002.01,1.927246511755,4874.0,1919.0,1900.0,59933,0.0,5915022.0,5915.0,130.0,135.0,150.0,125.0,120.0,140.0,4860.0,2430.0,4065.0,1535.0,4810.0,3725.0,1080.0,745.0,335.0,255.0,140.0,115.0,80.0,2640.0,21927.0,1900.0,95.0,250.0,210.0,245.0,205.0,240.0,175.0,110.0,110.0,95.0,170.0,47212.0,763.0,275.0,868.0,280.0,1900.0,366773.0,1070.0,830.0,30.0,215.0,9330002.01
3,9330002.03,74.91361365528722,9330002.02,1.56929789635003,3232.499999999998,1017.3896752706073,1016.0439217318896,59933,0.0,5915022.0,5915.0,85.23105745212318,98.68859283930053,94.20274771024141,76.25936719400495,96.44567027477098,105.4173605328892,3119.9052872606144,1913.2129475437125,2568.146336386343,753.6219816819313,3086.261448792671,2469.457743547043,614.5607826810988,410.45482930890904,206.34887593671928,98.68859283930053,49.34429641965026,49.34429641965026,107.66028309741876,1626.1188592839292,17281.0,1016.0439217318896,71.77352206494584,143.54704412989167,148.0328892589508,98.68859283930053,98.68859283930053,96.44567027477098,67.28767693588672,56.073064113238935,74.0164446294754,35.88676103247292,121.1178184845961,44872.0,804.0,141.30412156536212,1064.0,197.37718567860105,1016.0439217318896,423996.0,702.0347626977515,311.7662364696085,58.31598667776849,186.16257285595327,9330002.02
4,9330002.04,92.08638634471278,9330002.02,1.56929789635003,3973.500000000002,1250.6103247293927,1248.9560782681103,59933,0.0,5915022.0,5915.0,104.76894254787682,121.31140716069947,115.79725228975859,93.74063280599505,118.55432972522902,129.5826394671108,3835.0947127393856,2351.7870524562873,3156.853663613657,926.3780183180687,3793.738551207329,3035.542256452957,755.4392173189012,504.54517069109096,253.65112406328072,121.31140716069947,60.65570358034974,60.65570358034974,132.33971690258124,1998.8811407160708,17281.0,1248.9560782681103,88.22647793505416,176.45295587010833,181.9671107410492,121.31140716069947,121.31140716069947,118.55432972522902,82.71232306411328,68.92693588676106,90.9835553705246,44.11323896752708,148.8821815154039,44872.0,804.0,173.69587843463788,1064.0,242.62281432139895,1248.9560782681103,423996.0,862.9652373022485,383.2337635303915,71.68401332223151,228.83742714404673,9330002.02
5,9330003.01,72.66776750330253,9330003.0,1.65660523424288,3255.000000000001,868.5733157199473,866.4233817701455,59933,0.0,5915022.0,5915.0,137.5957727873184,94.5970937912814,101.04689564068694,141.8956406869221,111.7965653896962,105.34676354029065,3192.6519154557473,2590.670409511229,2502.5231175693534,481.58520475561437,3145.3533685601064,2605.719947159842,539.6334214002643,371.93857331572,169.84478203434614,64.4980184940555,36.54887714663145,27.94914134742405,105.34676354029065,1599.5508586525764,14173.0,866.4233817701455,85.997357992074,122.54623513870544,105.34676354029065,111.7965653896962,124.69616908850729,83.84742404227215,73.0977542932629,30.099075297225898,53.74834874504625,17.1994715984148,55.8982826948481,40896.0,693.0,197.79392338177018,929.0,156.94517833553505,866.4233817701455,335564.0,481.58520475561437,384.83817701453114,85.997357992074,264.44187582562756,9330003.0
6,9330003.02,96.33223249669747,9330003.0,1.65660523424288,4314.999999999999,1151.4266842800525,1148.5766182298544,59933,0.0,5915022.0,5915.0,182.4042272126816,125.4029062087186,133.95310435931304,188.1043593130779,148.20343461030382,139.65323645970935,4232.348084544253,3434.329590488771,3317.4768824306466,638.4147952443856,4169.646631439893,3454.280052840158,715.3665785997357,493.06142668428,225.15521796565386,85.5019815059445,48.45112285336855,37.050858652575954,139.65323645970935,2120.449141347424,14173.0,1148.5766182298544,114.002642007926,162.45376486129456,139.65323645970935,148.20343461030382,165.3038309114927,111.15257595772785,96.9022457067371,39.9009247027741,71.25165125495376,22.8005284015852,74.10171730515191,40896.0,693.0,262.2060766182298,929.0,208.05482166446495,1148.5766182298544,335564.0,638.4147952443856,510.16182298546886,114.002642007926,350.55812417437244,9330003.0
7,9330004.01,3.1689081376795083,9330004.0,2.79322468512419,3972.0000000000005,1194.6783679051746,1190.6040574424437,59933,0.0,5915022.0,5915.0,140.33736038294964,113.175290631411,122.22931388192389,110.91178481878278,106.38477319352634,106.38477319352634,3852.4868930932307,2827.118759972647,3150.8000911784825,819.3891041714156,3825.324823341692,3164.3811260542516,658.6801914748121,396.1135172099385,264.8301800775017,124.49281969455211,86.01322087987236,38.47959881467974,138.07385457032143,1953.405516298154,15304.0,1190.6040574424437,110.91178481878278,156.1819010713472,174.28994757237294,140.33736038294964,126.75632550718032,126.75632550718032,88.27672669250059,61.11465694096194,70.16868019147482,36.21609300205152,97.33074994301346,40421.0,740.0,183.34397082288584,840.0,192.3979940733987,1190.6040574424437,368285.0,710.7408251652611,482.1267380898109,142.60086619557788,400.64052883519497,9330004.0
8,9330004.02,3.831091862320492,9330004.0,2.79322468512419,4802.0,1444.3216320948256,1439.3959425575563,59933,0.0,5915022.0,5915.0,169.66263961705036,136.824709368589,147.77068611807613,134.08821518121724,128.61522680647366,128.61522680647366,4657.51310690677,3417.8812400273537,3809.199908821518,990.6108958285844,4624.675176658308,3825.618873945749,796.319808525188,478.8864827900615,320.1698199224983,150.50718030544792,103.98677912012765,46.52040118532026,166.9261454296786,2361.5944837018465,15304.0,1439.3959425575563,134.08821518121724,188.81809892865283,210.71005242762706,169.66263961705036,153.24367449281968,153.24367449281968,106.72327330749943,73.88534305903806,84.83131980852518,43.783906997948485,117.66925005698654,40421.0,740.0,221.6560291771142,840.0,232.60200592660132,1439.3959425575563,368285.0,859.2591748347389,582.8732619101892,172.39913380442215,484.3594711648051,9330004.0
9,9330005.0,8.0,9330005.0,1.34088259611702,6553.0,4059.0,4015.0,59933,0.0,5915022.0,5915.0,135.0,60.0,70.0,120.0,80.0,80.0,6550.0,1760.0,6010.0,2450.0,6510.0,4100.0,2410.0,1285.0,1120.0,680.0,425.0,255.0,445.0,4655.0,19504.0,4015.0,500.0,775.0,715.0,840.0,450.0,320.0,160.0,125.0,30.0,40.0,60.0,30162.0,635.0,1585.0,837.0,80.0,4020.0,175509.0,265.0,3755.0,160.0,855.0,9330005.0
